Fdw;Tdw;Ta;Thwi;Pa;RH;Frl;Thwo
15,009874;14,74;15,26;57,5;475,0203;93;4,6;34,58
15,003032;14,56;14,92;58,12;471,227;93;4,6;35,78
14,96726;14,16;14,48;59,36;468,40886;93;4,6;36,48
15,261828;14,06;14,34;58,42;472,32348;93,4;4,6;35,8
14,43007;14;14,4;58,12;481,0485;93,4;4,6;34,64
15,035688;13,98;14,62;57,56;481,39376;93;4,6;32,98
15,023252;13,9;14,64;59,8;469,566;93;4,6;33,94
14,973172;13,8;14,36;57,58;476,30338;93;4,6;33,24
15,030404;13,82;14,3;58,02;472,7807;93;4,6;34,66
14,996188;13,86;14,76;59,3;473,66722;94;4,6;35,38
14,952954;14,08;14,78;58,4;475,06694;94;4,6;35,08
14,975036;14,04;14,84;56,86;471,17102;94,8;4,6;35,56
15,203972;13,86;14,64;59,12;474,62834;95;4,6;36,84
14,984368;13,72;14,36;58,5;478,68296;95,4;4,6;32,98
14,977834;13,66;14,46;58,34;475,6222;96;4,6;33,3
15,015786;13,62;14,38;57,48;475,7715;96;4,6;33,34
15,007074;13,5;14,06;58,92;479,82608;96;4,6;34,24
14,986546;13,16;13,92;58,42;477,83846;96,8;4,6;34,18
15,038802;13,48;13,82;56,96;482,187;97;4,6;34,7
14,936466;13,6;13,7;58,68;481,02052;97;4,6;35,58
15,025428;13,6;13,82;59,28;475,0063;97;4,6;32,38
15,012364;13,8;14,04;56,4;482,87282;96,6;4,6;35,44
15,291688;13,88;14,12;58,8;471,68892;96,2;4,6;37
14,93273;13,84;14,04;58,28;472,8787;96;4,6;33,06
14,999922;13,8;14,28;57,34;480,43262;96;4,6;33,2
15,006142;13,8;14,34;58,04;474,25512;95,4;4,6;34,28
15,044714;13,74;14,36;58,06;469,73396;95;4,6;34,6
15,012672;13,76;14,36;57,6;473,08398;95,8;4,6;34,72
14,961038;13,74;14,24;58,02;475,64084;96;4,6;36
15,33959;13,66;14,34;57,82;474,91298;96;4,6;35,8
15,010808;13,54;14,1;58,72;472,9627;96;4,6;32,92
15,010808;13,3;13,82;58,02;474,829;96;4,6;32,78
15,01641;13,14;13,48;56,78;473,34064;96;4,6;33,08
15,016096;13;13,46;58,52;478,43566;95,8;4,6;33,96
14,983746;13;13,2;58,2;486,17156;94,6;4,6;34,18
15,016718;12,82;12,96;56,76;480,29266;91,8;4,6;34,52
14,950774;12,58;12,56;58,5;482,92886;89;4,6;35,38
15,027604;13,04;13,18;58,52;475,31422;88,8;4,6;32,02
15,742092;13,7;13,8;56;475,28156;86,2;3,4;35,12
14,687624;14,18;14,3;58,02;473,10266;82;4,2;36,52
14,989968;14,54;14,42;57,8;480,53992;80,4;4,4;33,08
15,005208;14,86;14,86;58,02;475,81348;77,2;4,4;33,54
15,006142;15,3;15,16;57,34;475,96278;73,4;4,4;33,98
15,04658;15,7;15,72;57,62;475,00166;70,8;4,4;35,14
15,013918;16,08;16,12;57,96;469,76196;68,8;4,4;35,6
14,934288;16,5;16,54;57,34;472,97666;66,2;4,4;35,42
15,14518;16,86;16,82;57,72;482,00032;64;4,4;36,14
14,519654;17,58;17,14;57,72;470,42914;65,2;4,4;35
15,02667;18,64;17,66;59;470,44782;63,4;4,4;33,36
15,004894;18,96;19,76;57,08;467,62502;63,2;4,4;32,62
14,979702;21,74;20,9;57,76;469,16938;60,6;4,4;33,98
14,962596;21,1;19,96;58,58;469,3467;63,8;4,4;34,62
14,97659;19,26;17,76;58,44;467,71832;60,2;4,4;34,96
15,045024;17,8;19,54;56,64;472,72472;57;4,4;35,58
14,997434;18;18,98;59,36;464,17698;57,2;4,4;36,96
