Fdw;Tdw;Ta;Thwi;Pa;RH;Frl;Thwo
15,009874;14,74;15,26;57,5;475,0203;93;2,2;34,58
15,015786;14,5;14,8;57,9;470,28918;93;2,2;35,78
14,960416;14,1;14,38;59,76;471,38096;93;2,2;36,42
15,26836;14,02;14,36;57,6;471,17568;93,8;2,2;35,68
14,463974;13,98;14,46;58,26;485,68164;93;2,2;36,5
15,015472;13,96;14,74;58,3;476,4247;93;2,2;33,48
15,005832;13,86;14,44;58,64;472,67808;93;2,2;33,76
14,985614;13,82;14,36;58,16;475,18824;93;2,2;34,38
15,049068;13,8;14,46;58,44;471,29232;93,4;2,2;35,12
14,93211;13,96;14,78;58,62;474,97364;94;2,2;35,32
14,970372;14,06;14,8;58,2;470,85374;94;2,2;35,64
15,230724;14,02;14,8;57,22;471,3343;94,4;2,2;34,72
14,948596;13,8;14,5;59,48;477,5958;95;2,2;33,38
15,004276;13,66;14,42;58,3;479,42016;96;2,2;32,74
14,997432;13,62;14,46;57,7;474,1338;96;2,2;33,32
14,995876;13,64;14,2;58,84;479,47614;96;2,2;34,06
15,020762;13,18;13,94;58,54;475,78552;96;2,2;33,88
14,98219;13,36;13,86;56,94;483,73136;96,6;2,2;34,06
15,015164;13,58;13,72;58,6;482,65824;97;2,2;35,64
14,992454;13,6;13,8;58,66;477,03126;97;2,2;35,5
15,007698;13,72;13,94;57,74;477,53514;97;2,2;35,82
15,291068;13,84;14,1;57,76;478,69228;96,6;2,2;36,22
14,950772;13,88;14,1;58,54;469,53798;96;2,2;33,3
14,99121;13,8;14,1;58,28;479,77476;96;2,2;33,28
15,001478;13,8;14,32;56,88;472,89268;96;2,2;33,68
15,012672;13,8;14,36;58,56;480,75458;96;2,2;31,94
15,02294;13,7;14,42;58,3;472,25348;95;2,2;34,5
15,03849;13,8;14,28;56,94;468,84276;95,6;2,2;34,72
14,95015;13,72;14,28;58,06;473,9565;96;2,2;36,12
15,38345;13,64;14,34;58,12;476,03278;96;2,2;36
14,979702;13,48;14,04;58,42;471,32032;96;2,2;32,84
15,007698;13,28;13,7;57,78;477,04994;96;2,2;32,8
15,02854;13,1;13,54;57,32;472,93938;96;2,2;33,38
15,004588;13;13,38;58,3;480,67524;96,4;2,2;33,88
14,971304;13;13,18;57,78;485,21506;95,6;2,2;34,34
15,02356;12,72;12,82;57,4;479,2242;93,4;2,2;35,04
14,944554;12,68;12,72;58,2;484,9398;90,2;2,2;35,36
15,849406;13,18;13,26;58,22;473,10264;89;2,2;34,14
14,93211;13,7;13,84;56,08;473,25196;88,4;3,64;31,76
14,69229;14,3;14,36;58,2;473,50856;85,2;4,12;36,66
14,986546;14,54;14,42;57,72;482,70952;82,6;3,4;33,06
15,005208;14,86;14,86;58,02;475,81348;80,2;3,4;33,54
15,006142;15,3;15,16;57,34;475,96278;76;3,4;33,98
15,04658;15,7;15,72;57,62;475,00166;73,4;3,4;35,14
15,013918;16,08;16,12;57,96;469,76196;70,8;3,4;35,6
14,934288;16,5;16,54;57,34;472,97666;68,4;3,4;35,42
15,14518;16,86;16,82;57,72;482,00032;66,6;3,4;36,14
14,519654;17,58;17,14;57,72;470,42914;63,6;3,4;35
15,02667;18,64;17,66;59;470,44782;65,4;3,4;33,36
15,004894;18,96;19,76;57,08;467,62502;63,4;3,4;32,62
14,979702;21,74;20,9;57,76;469,16938;63,6;3,4;33,98
14,962596;21,1;19,96;58,58;469,3467;60,4;3,4;34,62
14,97659;19,26;17,76;58,44;467,71832;63,4;3,4;34,96
15,052802;17,82;19,48;56,78;474,39042;61,2;3,4;35,7
14,989656;17,94;19,14;58,82;468,21288;58;3,4;36,78
15,130564;18,06;18,72;57,88;470,9144;57,2;3,4;36,34
15,267426;17,98;18,54;58,2;469,57532;56,6;3,4;36,58
15,001164;18,22;18,86;57,38;469,43998;57;3,4;33,56
14,960108;18,36;19,04;58,9;463,72906;53,4;3,4;34,3
14,957926;18,6;19,3;57,82;468,51614;53,4;3,4;34,22
15,02014;18,82;19,62;57,44;470,8864;52;3,4;35,22
15,005212;19;19,9;58,86;472,4028;48,4;3,4;35,84
15,009562;19,06;20,12;57,54;466,4679;47,8;3,4;36,14
15,033204;19,1;19,88;58,1;468,49284;45,8;3,4;33,52
15,004898;19,18;19,86;58,84;463,95768;45,8;3,4;36,84
15,245342;19,16;20,24;57,36;476,03278;45,8;3,4;36,46
12,2436786;19,3;20,4;58,12;473,0933;46,2;3,4;37,46
15,036936;19,24;20,2;57,94;471,09636;45,2;3,4;34,1
15,033516;19,18;20,22;58,2;465,38076;45;3,4;34,36
15,018584;19,14;20,12;57,6;469,55664;44,8;3,4;35,08
14,98748;18,92;19,96;58,14;478,5663;45,4;3,4;35,66
14,991524;18,8;19,64;58,12;468,88012;45,6;3,4;35,56
14,98748;18,66;19,6;57,52;465,05416;45,8;3,4;36,28
14,985612;18,36;19,64;57,96;467,70434;48,2;3,4;31,96
15,03725;18,28;19,46;58,94;468,9641;49;3,4;36,52
15,352654;17,94;19,3;56,96;473,11198;49,8;3,4;36,18
14,988722;17,56;19,1;58,46;476,21472;52,8;3,4;33,8
15,019208;17,14;18,52;58,48;470,06054;55,2;4;33,7
15,026048;16,62;17,86;57,94;473,04666;57,2;4,4;33,88
15,005208;16,2;17,42;57,92;471,55358;60,8;4,4;34,78
15,008942;15,92;16,88;58,46;474,5677;62,6;4,4;34,92
14,974106;15,5;16,48;57,66;468,24558;62;4,4;35,22
14,937708;15,18;15,96;58,24;477,88976;65,2;4,4;36,1
15,058712;15,06;16,1;58,18;471,15238;67,8;4,4;35,74
15,329014;15,1;16,26;58,48;474,64238;69,2;4,4;34,5
14,983746;14,98;16;56,3;479,08888;70;4,4;32,34
14,987166;14,74;15,66;59,32;474,16178;71;4,4;33,68
15,02636;14,54;15,46;58,04;472,46344;73;4,4;33,08
14,993698;14,38;15,12;56,52;478,87426;74;4,4;33,78
14,993388;14,18;15,06;59,46;476,26608;74,2;4,4;35,18
14,985302;13,96;14,9;57,64;478,417;77,6;4,4;34,68
